mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
330.2519,6.7918,478.0934,31.0225,640.3679,3.0676,1508.8178,300.4554
304.2583,1.6975,431.0635,4.4977,611.9285,4.1954,1510.8093,417.081
278.9809,3.6299,488.6971,0.731,587.1741,26.8337,1493.5777,263.5586
282.577,1.4259,458.4565,2.4865,544.7898,6.6026,1475.6835,306.322
295.5404,0.6802,444.4412,2.2141,567.1262,12.9318,1491.831,342.9058
232.1862,2.1346,292.2949,4.1325,497.8555,2.6928,1661.8267,1007.0973
119.8382,2.9067,273.6758,16.8824,563.8967,8.8504,1740.8925,737.3704
325.4121,0.5612,486.2214,3.9743,641.6046,2.2882,1462.0127,280.0929
314.6546,99.9512,376.0158,108.0189,640.5435,82.4134,1438.3161,260.0454
385.982,4.0313,455.4847,4.664,701.3039,49.864,1559.3463,357.0767
303.1162,2.3631,477.2731,68.7472,551.4575,1.9827,1534.8742,250.5433
173.7756,1.9032,271.5287,10.6715,560.6224,7.5137,1728.3198,665.7893
255.808,1.7455,363.7054,10.8572,509.5935,3.8002,1535.2387,172.4204
289.1686,1.9894,508.4965,33.5147,549.0467,11.3904,1460.6732,260.3293
230.6306,9.0288,386.4123,182.4921,476.6069,88.3363,1507.4116,396.6829
398.224,4.5398,458.6632,1.1841,693.8618,14.9707,1572.0454,356.5538
123.8787,1.2028,255.3769,16.5924,508.3137,12.0234,1710.1139,371.488
164.166,2.4308,247.3884,4.6425,514.7312,44.0421,1672.1946,1255.0066
352.6146,0.6362,481.8166,3.0784,656.8861,24.9701,1414.8289,208.3287
330.4669,0.7436,537.8838,6.8536,634.6508,43.9065,1495.7583,294.5933
234.3638,8.8914,274.2288,1.6958,514.3084,25.3832,1647.5944,1010.7537
142.0389,1.8698,295.0328,11.0918,582.8114,4.9314,1735.6472,762.1123
108.8708,0.201,230.1017,16.8597,546.7536,6.241,1693.3254,599.9849
149.7848,2.9649,277.3366,7.1671,588.6352,3.9123,1739.2101,677.6387
354.046,1.5532,525.9079,8.3366,622.4872,15.6718,1462.7926,246.5738
136.2433,47.1819,253.2403,36.3268,274.2649,0.766,1562.8637,600.5111
208.276,4.0753,382.7647,33.033,411.8708,1.8227,1524.6129,323.709
294.1618,1.8393,482.9028,12.4251,604.3556,0.4939,1483.2897,312.8636
219.9425,33.7487,289.2535,8.7438,506.0386,119.5243,1604.8339,533.9771
259.2483,2.7238,301.4906,1.559,558.9836,6.4813,1586.1096,597.4901
332.9738,1.1292,539.8126,9.4992,631.7862,16.7598,1431.4838,243.0609
123.1271,0.3958,278.2093,7.8568,553.0321,3.4846,1728.0902,683.7731
285.9563,1.0416,307.2577,3.0128,575.6834,0.7877,1538.6998,454.4102
245.3264,10.8809,396.3728,81.516,489.9566,6.1607,1255.8346,185.4756
81.7625,7.0461,294.0726,13.4384,517.6171,11.2513,1639.7348,131.5702
72.3885,0.2967,94.6683,8.4106,501.0138,7.8449,1742.6891,751.4591
112.7152,0.6862,284.9197,8.1595,564.9327,4.3794,1718.2554,722.0285
319.0512,36.0288,358.4115,10.6373,673.3569,98.1229,1563.9128,386.8858
231.8601,1.7306,360.9052,0.0555,436.8191,3.3632,1428.3534,473.3706
303.8732,1.0777,494.0151,65.7449,576.2794,23.8075,1402.3212,241.631
300.6316,2.6892,354.4836,9.163,574.4163,1.5111,1576.8189,407.188
49.1557,0.478,71.4803,1.2166,479.9427,19.8323,1720.3042,779.9864
111.98,1.0533,232.3993,9.5749,551.221,5.0734,1736.4907,781.0913
345.7057,2.1374,398.8887,4.6735,622.6798,5.4423,1483.1616,295.5032
288.8044,0.7529,360.3698,4.0681,559.0174,17.0566,1551.4638,495.3381
322.5085,1.796,451.7556,11.2386,624.0813,29.3763,1482.424,264.6804
315.7866,1.7988,526.0203,16.7535,617.5383,23.1523,1434.3273,254.8392
313.6833,1.6757,521.2702,15.0994,615.8687,27.3492,1463.4254,240.1417
371.9302,1.6,486.184,12.1611,718.9363,152.5897,1509.7271,275.8478
103.3446,0.8682,272.4027,21.1704,566.9052,17.0867,1714.7099,659.7901
254.1444,1.7525,286.0189,4.0531,532.9124,26.2493,1636.3019,1178.5964
283.1397,1.4286,492.0861,1.9272,561.6228,0.0585,1472.7032,301.2499
281.8314,1.0174,460.4286,0.3974,542.2737,20.1554,1444.6353,232.5586
241.7306,3.3516,348.5807,11.8855,536.87,15.799,1545.1449,506.4275
318.1142,2.6533,540.24,19.1554,585.9913,7.1231,1480.2649,287.8377
129.407,0.0422,267.5374,12.0642,556.1048,4.1844,1703.2595,600.2871
243.4922,9.4485,287.7576,0.9476,530.6962,13.1204,1537.5367,531.0645
169.3749,0.2239,303.0767,1.8033,597.1506,1.8435,1718.6401,702.3331
285.2793,1.4326,498.4875,9.7094,574.2004,14.7973,1463.1591,252.5226
122.1016,0.6419,250.0335,7.9586,547.2571,2.4684,1719.2431,614.1042
340.5167,3.5063,529.5051,20.9137,599.7734,59.8007,1472.1774,320.0471
383.323,5.4881,480.3918,8.0952,690.2363,13.4561,1505.9062,354.8409
174.8758,0.5108,305.3945,6.8125,574.7964,4.2007,1718.2919,717.5845
377.3982,2.6583,426.7995,2.721,684.2091,87.0122,1529.7583,313.6046
241.712,10.2836,352.2583,8.1932,529.8753,5.5297,1586.2518,297.0455
305.8266,1.5239,436.2669,7.0392,585.5692,175.0139,1506.4693,397.013
348.4981,2.7734,379.6712,11.2763,621.1721,24.2049,1513.2154,307.5173
320.3437,9.7126,403.9844,19.8626,653.9405,7.3215,1459.1896,231.6219
230.0429,5.7958,272.6255,0.515,498.8501,39.403,1630.5619,1022.2722
99.8086,0.1962,199.4412,9.8347,528.9355,7.8376,1718.828,763.5155
203.3818,5.8564,226.7217,4.37,510.405,3.7885,1604.0572,1200.1367
189.1785,9.8153,230.1482,2.7943,405.3721,27.4421,1642.3507,403.0356
292.8607,1.8725,510.0142,35.1425,541.8566,9.2401,1475.4083,276.6172
352.7979,2.9565,382.0662,0.3565,598.7005,4.5164,1522.0571,299.6795
369.2886,1.8696,395.8619,1.0819,582.8929,2.6559,1544.8714,386.4502
195.5692,6.2701,259.6456,3.487,467.0413,5.5174,1620.7566,420.6226
157.5814,5.472,253.4042,3.6367,572.8336,8.5297,1703.1292,718.644
341.464,0.696,352.6426,11.9285,671.1625,55.7858,1563.4741,360.0953
312.2121,4.3815,394.5345,2.806,656.7905,15.8315,1552.0891,355.5468
208.199,4.1964,329.7051,4.1427,509.2058,0.6044,1603.984,235.9078
251.1277,0.9246,311.7025,2.0937,622.7065,0.644,1673.1517,685.7018
188.1755,5.3656,337.2202,43.3142,457.0837,4.6968,1461.5769,327.802
64.3303,0.2104,101.691,5.0295,462.1424,36.4925,1736.322,791.0874
365.0311,2.4913,443.0439,8.1653,682.2089,16.5509,1496.8704,317.0131
285.3742,9.4648,392.407,6.1973,560.0744,2.4985,1508.6642,344.9728
58.884,0.0161,92.4412,4.7262,507.9714,17.4387,1715.0844,671.109
244.5951,7.9638,288.6979,12.469,509.9874,81.5931,1648.8046,988.1009
78.5675,0.1677,146.0439,16.3961,529.4566,8.4453,1736.5222,684.1849
339.708,2.4228,521.1702,29.6166,626.4523,18.8661,1474.4979,230.9109
246.0144,9.6061,371.9348,10.4846,638.5176,12.9588,1460.3216,336.439
60.216,2.1002,80.5802,1.9231,485.574,22.4922,1724.5418,841.8451
54.2022,0.1021,81.1244,3.7736,519.3804,12.6483,1739.3714,761.239
243.4012,12.6517,380.9161,20.4124,494.4824,20.0276,1524.0109,381.8627
332.1177,0.5008,560.0154,5.3772,640.2128,35.615,1422.1258,277.3877
352.1118,10.0192,429.2342,6.6542,668.3349,25.6804,1495.3806,301.5943
315.1673,1.9769,382.1038,10.1896,580.5749,1.1163,1536.8881,396.6333
102.928,0.697,255.3761,12.3428,552.6224,7.6498,1723.9221,784.9166
316.1327,0.7167,524.3276,14.6481,598.1076,19.5826,1479.7905,286.2984
253.4123,2.4633,308.175,1.9054,543.9009,6.1251,1649.4676,931.1958
323.4344,3.8642,434.8949,4.8332,620.3434,13.5487,1473.6844,263.1717
77.9244,0.0602,138.6337,18.2802,512.0931,12.1139,1741.2987,698.1913
222.0611,16.3819,296.9856,8.9577,438.631,14.7807,1628.3472,246.9595
213.4961,3.3184,431.0762,1.1495,458.4665,6.3637,1514.9615,247.2501
371.9438,19.1592,389.8931,5.308,587.2668,14.8203,1635.6807,531.5324
290.7405,0.7388,394.9241,32.5092,581.1786,60.6001,1530.1171,405.6367
280.9135,1.622,432.1471,7.4492,573.7419,1.5779,1525.3181,232.1272
354.1474,4.4487,454.1257,34.2089,629.1452,15.5888,1486.873,304.3484
255.3792,3.7379,337.0302,1.8664,623.1478,5.9742,1473.2054,347.1117
319.1141,0.8712,523.5978,15.5505,634.0305,33.7095,1462.4785,271.2038
305.3894,2.8976,422.0216,6.2921,584.8231,38.9104,1527.5785,365.2903
289.784,4.1551,472.8248,0.6977,530.7272,7.0025,1481.695,285.7171
222.6975,0.672,353.375,2.4827,459.2573,5.8926,1538.4572,255.1034
335.403,1.9887,492.6488,26.3916,619.2108,56.7184,1430.6126,252.2994
95.3295,0.2549,199.6738,29.9925,572.9577,7.0424,1721.0229,677.2929
305.1224,3.3879,429.2236,1.2183,553.8079,4.067,1450.103,289.3801
182.9809,12.3999,278.2329,17.8359,358.836,34.2925,1671.1995,330.9544
317.4742,0.8501,569.0418,50.4241,610.9317,13.1427,1492.8652,268.9983
375.0467,2.578,441.8991,5.5613,675.8215,25.4986,1536.1476,336.7687
186.2367,1.5465,232.8756,0.7125,466.9526,5.221,1656.8176,1348.3136
348.0025,2.0527,464.2713,10.2647,672.9224,27.9187,1501.8283,261.5241
226.6474,3.5525,350.9695,4.4295,524.2057,4.7713,1538.2511,421.7593
356.8493,2.0852,412.4208,8.0758,580.0873,26.1918,1505.8983,314.5213
176.3308,43.2202,376.3184,1.8945,651.6006,1.1042,1464.1218,254.8282
340.1701,2.0277,479.9239,0.6656,597.7249,11.1486,1457.165,277.8377
304.0725,1.786,441.0265,3.8999,577.7261,82.221,1574.9471,456.9923
375.5724,1.916,417.8631,9.947,669.6451,12.9227,1535.7483,345.2531
341.0703,3.6269,406.9764,6.5501,617.478,0.559,1482.2472,400.1294
224.9275,0.2007,341.0418,8.6475,410.574,7.0274,1530.5995,237.5561
319.2959,0.8596,488.2789,5.3696,629.5889,24.6504,1504.5889,292.3419
138.0907,6.1673,236.458,67.644,557.671,12.1815,1695.2967,627.0071
333.1034,24.4693,544.2629,94.7103,593.4362,106.068,1505.907,250.1871
309.6427,4.0881,524.1348,36.6515,605.2098,30.723,1461.7753,257.3238
293.3414,0.8947,424.9053,6.8925,571.5699,1.9198,1518.4108,321.0643
118.5147,1.9344,246.7478,32.5641,555.5911,56.7166,1713.5655,766.5652
353.5504,1.7855,404.0118,6.5283,680.0861,13.1373,1516.2466,321.4679
264.988,4.8786,296.9443,32.3454,542.9379,18.2744,1608.3531,247.7631
224.1246,43.0184,385.4471,67.2182,589.4153,7.0544,1558.9558,249.0536
309.5925,20.338,534.8667,11.9466,568.9693,60.6982,1458.7307,269.6785
377.0885,4.3385,409.1796,2.5755,619.9851,30.2704,1584.3671,461.6919
162.3822,0.3177,303.839,6.3147,592.1642,1.0062,1685.6271,622.2132
