mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
147.8264,0.1624,290.3843,0.0201,350.4913,0.4359,1382.0606,57.0962
248.1987,0.1868,383.0861,7.3817,552.8348,3.6731,970.1778,65.7779
203.3839,3.8725,337.5957,16.6635,575.5563,24.1365,989.5364,120.3825
147.6603,0.0308,288.3475,0.0011,353.1438,0.489,1395.0198,42.8328
173.6796,11.093,205.5179,6.8613,407.2595,22.9182,993.0234,253.7172
218.1975,1.535,403.2077,6.7026,471.2877,4.1884,766.8945,70.9415
223.9881,0.8798,307.6485,12.2772,510.3707,36.0542,1008.9814,344.7403
216.9233,5.5179,220.0037,1.5607,430.7452,3.835,1115.8654,210.3626
198.0461,2.6739,305.1989,3.0203,479.819,7.828,1001.5796,148.9424
221.1615,2.0658,405.1636,5.1343,558.4044,13.1909,935.5263,97.7709
332.1656,22.7215,398.0311,23.6938,478.421,1.5177,635.2947,23.3047
160.7172,0.4086,292.5541,1.2957,501.1289,0.8622,1039.6291,153.9143
180.0712,2.6506,214.2163,2.4102,518.6323,10.3903,992.5305,100.3888
223.9532,2.0809,428.7448,6.7203,600.4266,4.2202,957.533,76.4297
281.0014,11.206,329.044,7.7441,559.3855,8.592,947.0589,98.4411
208.2431,2.4157,274.9578,2.4205,544.337,42.0129,1018.5935,237.1698
342.8117,1.5605,382.3453,6.6838,414.0368,6.5864,678.283,94.6804
206.3385,4.0429,262.7663,4.2354,467.0562,9.3247,1090.8557,196.1958
110.3498,0.5632,185.779,0.9613,307.0164,3.404,1313.9153,727.5965
155.0932,1.2644,208.0645,1.1573,374.7826,3.0159,1219.8358,117.6352
244.86,1.8441,292.5546,4.4826,551.358,13.5318,1008.6115,126.4039
233.4175,1.2159,318.9149,4.3337,491.4071,1.6498,1067.9079,91.3592
148.1139,0.0789,309.5235,11.495,484.1112,19.7575,985.8287,351.9004
337.0332,1.9943,439.7141,11.3059,488.7744,6.2752,801.8985,40.7063
259.3791,7.0909,432.9125,8.0718,632.663,56.5886,851.8634,81.4147
158.9188,3.7316,263.492,2.8529,319.7346,15.5565,1037.2594,153.1615
277.7489,4.9889,303.1192,1.8832,477.4231,6.3227,998.3431,130.757
154.5608,1.749,213.7716,0.4364,389.2224,5.7478,1302.5351,230.4485
218.0911,3.5216,336.1494,12.0775,479.1585,4.0197,913.982,69.8001
160.2124,7.2076,233.2857,3.9781,428.6091,11.9631,1036.1588,162.187
267.6722,1.5802,362.225,6.0644,526.038,1.5568,806.149,59.3225
248.7878,6.4277,320.2861,26.8207,483.3565,32.4201,913.2336,245.7816
197.7793,0.876,268.7443,0.8543,521.0556,4.9443,1040.244,234.4247
242.6454,25.6587,301.7977,97.989,528.7851,5.0694,943.8903,245.482
195.3513,4.0836,347.3603,23.0536,572.2388,10.8974,895.4249,164.7606
178.9088,1.142,356.7481,0.4032,481.4717,19.3636,913.7431,92.9391
137.9732,6.1535,207.7904,15.9332,397.3812,25.6119,989.4598,242.385
222.4259,1.1841,334.5105,1.4587,522.0203,1.8894,1058.2575,78.5265
240.8588,9.749,287.5148,3.6496,494.2693,24.4718,848.2645,132.1076
282.5589,2.8806,381.1533,5.3277,559.2081,32.347,992.0542,157.176
130.2895,0.0387,284.5176,0.0159,330.823,0.3275,1393.7965,86.2968
111.59,1.2224,231.7902,0.3003,314.0655,2.848,1339.2729,267.3565
154.6273,3.509,296.0869,0.9104,378.8447,4.7027,1218.3587,281.7214
217.506,4.3263,341.8802,11.2249,560.4025,1.5194,921.6452,246.2994
112.558,1.8765,224.5288,1.3972,315.5884,3.6287,1335.7098,262.2085
196.3378,0.3727,313.0657,9.026,545.7697,15.3691,933.7054,161.0282
260.1328,22.4938,340.2872,64.0724,516.2503,50.006,737.3001,94.3157
223.4621,3.0824,329.0369,27.3994,555.2767,6.3827,940.2233,175.5751
268.0051,8.5507,287.5775,2.7938,469.9464,1.8844,911.0915,277.2464
219.5135,0.6991,374.9639,4.2506,545.6574,5.5909,882.3227,67.3499
236.5131,0.6701,346.8115,18.9888,619.7643,19.2133,884.9814,229.7895
177.6607,0.6158,245.4277,3.1851,314.9215,9.1888,1272.1511,612.4831
203.9849,10.4685,348.1119,24.4733,524.27,12.929,957.0598,176.9892
101.601,0.4758,205.9276,0.82,299.7761,12.2616,1315.5254,569.8847
284.9993,54.9243,384.1203,8.3395,491.1577,58.6931,799.8851,182.9372
320.2056,1.8933,357.7158,4.7748,456.9005,3.1219,825.7605,33.245
141.241,0.0313,291.6398,0.0141,341.1871,0.0419,1415.2476,30.5645
168.1287,0.3935,278.4056,0.025,377.5553,2.072,1337.9634,125.763
305.208,7.1253,369.4715,14.1046,720.9089,217.9458,816.0611,167.3817
186.0601,1.4449,279.6955,5.3426,494.1214,2.9801,982.6902,171.5409
233.9491,0.6259,345.1977,23.3776,476.5728,4.3075,1009.2601,146.5407
223.8595,3.1232,228.8451,2.2065,449.7772,11.826,967.3302,63.7514
156.7992,2.6873,289.7966,3.7981,536.7373,2.3447,988.3494,101.6441
189.321,6.9573,332.6769,31.1485,538.5525,2.9139,1017.8949,121.8113
316.9581,0.3939,383.067,1.9923,511.6637,7.8249,805.6478,75.89
168.4191,16.2066,234.1412,4.8916,448.1803,296.4642,676.4005,989.1496
200.7582,1.7702,297.028,10.7802,502.5886,3.3501,1045.3018,169.8283
212.4722,1.221,327.4639,14.4101,561.1618,15.9912,941.0587,93.1341
199.493,0.6527,299.5326,3.5057,557.1099,1.2498,968.0717,103.9409
214.6078,0.7561,252.0055,15.3581,573.7861,2.8345,881.277,144.6088
240.2663,16.9483,280.3605,7.2364,441.7232,5.3973,888.9592,500.9109
256.6179,0.2503,305.1766,0.9499,502.79,12.4273,1064.0649,148.0014
204.6633,7.9228,386.1809,2.4606,545.9579,28.9035,1005.4641,161.9084
178.3282,0.6634,353.3455,3.0151,411.3398,24.9659,1052.2739,56.8354
241.524,1.3229,350.6154,20.0424,578.8443,32.2967,868.9867,168.3768
201.0631,5.0248,424.3141,13.1756,581.9694,26.2645,967.1265,93.3397
185.4899,2.8868,277.2456,6.4644,509.967,6.7046,1011.189,166.888
215.7406,5.9169,238.6828,7.9649,327.5342,1.6203,984.7555,90.6868
207.1141,4.4669,378.3723,48.7053,537.7338,45.1622,955.5896,113.7844
281.2084,0.0562,387.0877,12.1338,536.9891,8.0196,996.3543,45.713
252.5587,0.5477,356.4885,2.0408,557.3376,48.0487,879.811,116.0554
307.0304,10.5266,336.8981,6.4074,437.8932,21.4943,902.7499,99.5868
351.347,6.3898,358.9383,46.2339,481.8971,3.9516,727.0246,49.6517
177.8992,0.4277,200.7558,0.1025,444.9766,5.5223,1111.726,211.5791
258.5002,7.2356,334.1094,1.0368,519.7599,8.1833,866.7429,70.061
245.2466,13.4608,410.5437,5.3534,581.5421,2.2985,845.6388,176.2027
251.919,0.2982,286.6982,0.3869,544.6515,22.8199,1109.5728,268.5106
245.3583,4.1574,288.3281,0.4469,496.9595,13.671,1028.8889,76.6233
172.4638,1.531,261.6976,0.2117,397.7052,2.7365,1274.9025,237.1776
94.5199,2.6061,220.1023,0.4978,302.6785,3.6876,1377.1223,223.0158
203.7129,1.7916,297.9032,5.7492,524.6803,9.4763,996.3681,157.0524
217.1532,4.8879,375.0912,7.0087,513.1601,16.6643,970.3284,93.9144
208.9479,1.0331,365.0928,2.5295,558.338,4.0547,930.3277,95.3304
147.8517,0.1754,286.3401,0.0428,353.1976,1.0885,1356.1181,91.0733
250.8031,5.5992,302.7025,2.8988,472.5169,10.2024,973.2455,167.3411
173.2905,1.9737,261.9085,2.8018,455.5028,4.8241,1085.227,178.0761
130.7757,0.0332,293.4776,0.0328,335.8546,0.0274,1429.2794,14.0253
259.83,1.9027,419.3856,19.4249,550.3758,19.5835,1016.9991,116.0733
