,charge transfer/e-
428,0.068621
429,-0.064479
430,-0.070792
431,0.060765
432,-0.121568
433,0.055708
434,-0.04608
435,0.116356
436,0.054328
437,-0.140367
438,0.0803
439,0.012474
440,0.019417
441,0.020873
442,-0.02371
443,0.174028
444,0.035922
445,-0.101426
446,-0.048986
447,0.03183
448,-0.117492
449,-0.102364
450,0.08598
451,0.166294
452,-0.058885
453,-0.05759
454,-0.022675
455,-0.137696
456,0.096075
457,0.02872
458,-0.167701
459,-0.119747
460,-0.038603
461,0.027328
462,-0.056603
463,-0.137912
464,0.021413
465,-0.114825
466,0.157934
467,-0.079222
468,0.135135
469,0.037382
470,0.15547
471,-0.056103
472,-0.095013
473,0.041914
474,0.0376
475,0.046794
476,0.070962
477,0.06957
478,-0.036771
479,0.081236
480,-0.135752
481,0.037119
482,0.04998
483,0.062168
484,-0.108946
485,-0.061629
486,0.019351
487,-0.014955
488,-0.050424
489,0.020878
490,0.148203
491,0.037096
492,0.038156
493,-0.060115
494,-0.026011
495,-0.142469
496,0.164717
497,-0.103086
498,0.043711
499,-0.085121
500,-0.020399
501,-0.037526
502,0.002853
503,0.01635
504,-0.109655
505,0.063377
506,-0.160729
507,-0.040485
508,0.079205
509,0.083434
510,0.066343
511,-0.040661
512,0.0108
513,-0.003575
514,0.041772
515,-0.091284
516,0.043872
517,0.137004
518,0.061956
519,0.051116
520,0.06029
521,-0.049707
522,0.025418
523,0.008323
524,-0.106004
525,-0.001233
526,0.015407
527,-0.032286
528,-0.052893
529,-0.055232
530,-0.020558
531,0.159963
532,0.057547
533,0.028401
534,0.15299
535,0.142164
536,-0.031019
537,0.064211
538,0.02633
539,-0.054748
540,-0.021161
541,-0.089567
542,0.15147
543,0.013249
544,-0.099394
545,0.077564
546,-0.148901
547,0.083386
548,0.065722
549,-0.081271
550,0.011909
551,-0.104891
552,0.024744
553,-0.044295
554,0.067025
555,0.151713
556,0.052072
557,-0.002158
558,-0.082454
559,-0.045214
560,0.039756
561,0.064923
562,-0.008067
563,0.138348
564,-0.019203
565,-0.115535
566,0.06358
567,0.145119
568,0.053168
569,0.079604
570,-0.097565
571,-0.055257
572,0.170366
573,0.052195
574,-0.062249
575,0.034939
576,-0.002113
577,0.027404
578,0.004493
579,0.048796
580,-0.057614
581,0.026597
582,-0.137228
583,-0.087152
584,0.001937
585,0.026704
586,0.072376
587,-0.020968
588,0.038223
589,0.174753
590,-0.142229
591,0.136787
592,-0.06744
593,0.04198
594,0.056647
595,0.066363
596,0.088795
597,0.030354
598,-0.048774
599,-0.039778
600,0.063204
601,-0.009831
602,0.139628
603,0.07737
604,-0.025338
605,0.075951
606,0.018223
607,0.173174
608,-0.11469
609,0.047104
610,0.006252
611,0.031405
612,-0.067334
613,0.067323
614,0.013182
615,-0.096111
616,-0.110708
617,-0.080802
618,0.030803
619,-0.116864
620,0.056358
621,0.148701
622,0.025832
623,0.065109
624,-0.072521
625,0.058663
626,0.027329
627,-0.073154
628,-0.112148
629,0.035573
630,-0.055792
631,-0.031882
632,0.012934
633,-0.085023
634,-0.035029
635,0.018539
636,0.033014
637,-0.03151
638,0.143211
639,0.088288
640,0.028758
641,-0.021221
642,0.085638
643,-0.020519
644,-0.0202
645,-0.084824
646,0.057878
647,-0.044988
648,0.179805
649,-0.022533
650,-0.105179
651,0.15913
652,-0.063289
653,0.078422
654,0.124067
655,0.155201
656,-0.013313
657,0.060678
658,0.13784
659,-0.145498
660,-0.030362
661,-0.114469
662,0.088016
663,0.166431
664,0.078186
665,-0.051098
666,0.071266
667,-0.029886
668,0.045833
669,-0.108218
670,-0.128637
671,0.045197
672,-0.051231
673,0.157084
674,-0.043587
675,-0.108465
676,-0.129328
677,-0.106535
678,0.082441
679,-0.066778
680,-0.1081
681,-0.075433
682,0.03074
683,0.041799
684,-0.126532
685,0.157289
686,0.02361
687,-0.039354
688,-0.088083
689,0.0758
690,-0.040454
691,-0.06709
692,-0.065816
693,0.051892
694,-0.10975
695,0.039443
696,-0.129944
697,-0.027434
698,0.07417
699,0.044185
700,-0.065684
701,-0.043212
702,0.078393
703,0.033313
704,-0.03298
705,0.07929
706,0.066741
707,0.167196
708,-0.086945
709,-0.009499
710,0.067083
711,0.088394
712,0.03833
713,-0.101184
714,-0.075277
715,-0.099208
716,0.024563
717,0.034343
718,0.016486
719,-0.037483
720,0.000174
721,0.021809
722,-0.032191
723,0.034431
724,-0.071691
725,-0.083522
726,0.139596
727,0.013217
728,0.029989
729,-0.088274
730,0.065023
731,0.070466
732,0.030354
733,0.025575
734,0.143579
735,-0.023524
736,0.140253
737,0.080054
738,0.067681
739,-0.071275
740,0.075793
741,0.00909
742,0.032853
743,-0.015572
744,-0.003327
745,-0.056589
746,-0.127365
747,-0.124727
748,0.06044
749,0.020308
750,0.037309
751,-0.118286
752,0.075731
753,-0.117406
754,-0.053902
755,0.006857
756,-0.062442
757,-0.101539
758,0.062732
759,0.064372
760,0.015717
761,0.056477
762,0.072541
763,-0.039448
764,-0.095628
765,-0.128148
766,0.029551
767,0.147336
768,0.00427
769,0.041618
770,-0.052092
771,0.045811
772,0.062983
773,0.065744
774,0.146789
775,-0.111239
776,-0.149147
777,-0.060168
778,0.047314
779,-0.111109
780,0.025009
781,0.054344
782,0.015669
783,0.074118
784,0.030016
785,0.172482
