mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
220.4434,11.7782,241.5204,34.8312,394.3952,0.4736,2086.5375,374.6884
321.5374,1.9689,425.4617,0.5041,548.284,8.7612,1827.9421,337.2262
336.0922,4.6199,433.8678,4.9046,551.6737,18.2184,1840.2681,341.8844
352.667,1.3075,471.4544,9.916,569.9419,3.0051,1762.7985,261.5052
350.7818,1.0015,382.0868,7.0229,404.9732,8.3801,2049.9756,479.1154
329.7342,3.1319,403.8593,1.8829,524.7759,12.4254,1855.5772,313.8729
315.4468,10.1853,317.0852,18.7736,442.6614,1.6808,2043.2643,476.5676
272.6501,3.398,413.2291,2.2687,483.6699,2.3146,1819.4156,300.0627
282.8426,28.8439,415.1027,4.7196,458.4256,2.6275,2017.6361,475.6046
383.2285,41.4636,416.9264,12.9217,426.4044,9.9555,2013.506,563.3766
196.5196,13.4872,393.6627,60.4465,491.971,1.1027,2017.4574,621.4583
321.9513,1.6062,442.8503,2.2475,539.4509,22.6579,1772.4467,306.9282
320.8028,61.3931,322.7706,55.2788,511.3493,0.3802,2036.227,561.4381
424.7597,2.1349,453.7395,15.2943,469.1896,3.1718,2012.1448,404.805
344.1773,2.427,442.0197,3.4003,586.8512,1.8885,1856.9528,326.6127
363.4397,0.764,459.4786,9.0073,598.4519,21.2152,1801.7032,324.8969
347.7432,1.436,387.8179,8.8265,493.9143,3.3082,2033.1728,482.5796
325.9439,5.379,493.5381,7.6314,503.7309,7.9291,1728.9407,274.5364
319.5266,1.5928,469.2421,13.683,555.2381,5.0809,1751.7271,275.248
324.4574,99.4011,327.3241,108.2394,495.6198,0.6595,2016.1018,519.7226
359.5276,25.1906,368.4496,141.2224,484.8539,2.3867,2021.8882,508.0411
330.0879,2.385,446.0271,10.3817,539.0713,2.1624,1847.133,327.5595
133.6608,4.3062,254.33,22.8238,330.3619,0.5612,2102.2987,360.7816
340.2872,1.3571,504.9339,8.002,550.5462,29.4682,1773.8545,291.3454
336.5725,2.6117,349.5707,0.8018,441.0075,3.8793,2055.1255,457.66
370.2791,22.1365,414.549,41.9538,498.3683,6.8834,2029.3778,539.8865
291.4964,4.2462,450.6789,4.5013,495.1472,8.8997,1790.8389,272.8701
369.9016,9.402,446.2563,8.6971,485.7192,8.3271,2028.6299,528.6083
402.278,2.0063,490.2485,7.293,568.5481,15.3548,1779.7978,283.4681
326.6433,3.2975,347.4293,1.2198,436.4212,3.7102,2051.679,471.7521
201.0801,7.2644,230.3989,22.7639,395.5123,1.8116,2103.2671,374.9173
362.4679,1.9836,434.0107,15.0633,589.3723,47.6891,1809.5528,300.1265
345.485,0.6602,479.2193,6.9254,564.204,10.8476,1757.4432,232.8685
368.7464,1.1881,453.471,7.0355,604.0225,7.5431,1802.4054,293.5985
347.3677,6.0256,416.109,5.9747,523.5906,12.4914,1915.7782,381.9141
373.5593,10.9997,389.2728,3.7403,456.944,23.393,2039.5781,527.6203
313.2717,1.4504,443.5792,1.6891,518.0371,9.5781,1773.3,242.6705
337.4874,0.8871,494.8451,6.4335,549.9486,16.8033,1743.119,290.3023
361.8801,3.2341,435.6636,17.5517,544.9705,23.1444,1705.1254,254.7185
253.3722,4.4391,379.0126,0.8617,494.3226,2.6968,1842.6282,283.4204
392.684,0.2081,403.7653,54.6327,474.079,2.0068,2026.3623,415.8612
370.9559,5.2282,420.0579,28.4622,493.5026,4.1258,2006.8576,447.5134
282.7303,2.7735,445.8594,3.476,495.1563,3.1632,1805.0656,249.1343
385.1664,9.8862,438.9237,19.2883,479.7778,9.161,2023.9232,532.6909
349.2695,7.4925,395.16,12.7179,482.6705,7.705,2032.611,577.5763
318.4331,4.4373,411.4687,3.1521,502.7328,27.4288,1858.4071,293.3628
367.8621,3.7163,375.9838,6.324,498.969,2.0564,2021.7893,559.8019
307.9113,0.7324,329.4262,1.2054,451.7791,1.4874,2043.9405,499.2219
321.6532,1.9829,469.6225,0.7601,510.0701,17.3456,1798.4175,288.3506
309.3111,0.9735,442.5244,2.8828,525.5722,9.1339,1783.7549,255.0239
318.0383,2.2399,394.4572,1.15,515.5085,0.9179,1843.4126,297.5252
368.7811,1.1967,437.4445,5.757,557.6396,4.0444,1730.7922,289.7725
361.9656,1.549,481.3842,6.5442,542.5973,12.5117,1734.4394,254.7089
310.6209,3.8582,402.4217,11.0801,499.864,9.9253,1834.9047,344.9092
320.9679,0.1553,354.268,1.0215,447.3117,3.1661,2044.5686,447.2013
330.1082,26.086,360.8289,42.0072,431.6662,1.9205,2036.2791,477.335
320.1174,42.1971,339.6555,22.8886,451.1312,7.8952,2020.3473,489.1301
343.4725,1.9978,378.2852,5.3045,468.1303,5.7701,2032.749,544.1546
234.4577,5.0202,388.1292,54.9064,408.8004,14.7208,1879.4484,319.0505
349.6422,9.3338,445.7966,7.1928,522.6918,19.0037,1773.3676,261.0112
332.6324,4.5395,341.0276,1.9718,442.0736,3.1443,2047.0808,465.394
398.1073,2.5096,452.7051,8.9328,562.2434,7.6919,1800.1096,308.2493
337.0994,1.9432,367.9388,6.1888,505.6726,1.2809,2022.14,504.9109
267.6682,48.4705,302.6351,2.1515,419.3834,7.5017,2023.7238,493.4507
335.2841,0.227,500.6397,6.5222,559.7263,7.658,1711.3953,274.0836
378.9915,2.7884,454.4209,6.1714,537.5599,21.2953,1812.4043,289.677
183.1545,0.1149,244.1941,11.98,342.5337,0.0154,2116.2875,397.6233
347.1468,2.3662,356.1193,1.842,505.0079,1.1989,2030.7191,510.9892
316.7679,8.6682,408.8439,29.0513,527.4663,11.4771,1775.6647,270.0374
313.7097,0.5314,489.6923,5.1695,502.6278,17.7792,1758.3761,273.6749
231.048,25.7274,420.7877,5.9227,435.6913,18.7769,2023.5927,623.5791
325.2071,3.9411,406.486,7.2545,507.7745,7.0871,1869.427,267.3328
324.7191,7.269,356.4537,1.5485,445.1973,2.5422,2031.5393,473.7519
302.3749,38.9905,309.8115,46.3801,512.6597,0.9602,2041.6615,544.6481
332.8294,2.8822,421.7867,0.1381,552.1239,0.7982,1864.3115,346.4688
296.1628,14.94,308.9301,9.5564,441.2369,1.1713,2024.1533,449.5314
275.8784,2.7851,424.6054,0.6805,496.4728,2.7028,1835.8501,306.2589
287.5071,2.1592,415.3659,8.8502,501.1474,5.5652,1786.036,272.9991
325.6877,0.6929,472.081,9.5112,524.9955,12.1478,1756.9782,263.2767
193.8973,5.2128,257.036,15.1474,350.6501,0.6046,2106.9648,361.9338
343.2645,0.9002,501.385,6.8404,525.0486,21.4922,1662.2309,240.5341
306.2564,14.7927,338.7502,6.5435,418.395,9.9691,2034.8014,556.8681
347.97,4.7572,450.9939,4.5398,571.096,2.6169,1771.993,269.0684
349.7265,1.2964,463.3261,7.2149,568.3056,1.4514,1774.7517,256.1851
404.4168,17.4109,441.0178,10.1006,475.1586,6.3641,2013.3784,464.3996
327.9223,1.7329,446.2662,1.3416,559.6395,2.8014,1809.8534,297.7933
